c-py 164.17 1.867   # SOURCE3_SOURCE5 17 0.0103
cq-cq 277.60 1.485   # SOURCE1_SOURCE5 728 0.0059
c-s 298.35 1.672   # SOURCE1_SOURCE5 875 0.0114
c-s4 167.99 1.870   # SOUECE3 1
c-s6 167.99 1.870   # SOUECE3 1
c-sh 206.09 1.797   # SOURCE3_SOURCE5 39 0.0097
c-ss 204.39 1.800   # SOURCE1_SOURCE5 249 0.0157
c-sx 161.23 1.885   # SOURCE3 5 0.0088
c-sy 170.32 1.865   # SOURCE3 5 0.0085
cu-cu 564.10 1.294   # SOURCE1 10
cu-cx 277.70 1.485   # SOURCE1_SOURCE5 31 0.0066
cu-ha 405.22 1.081   # SOURCE2 3 0.0111
cv-cv 480.53 1.335   # SOURCE1 25
cv-cy 250.66 1.515   # SOURCE1_SOURCE5 19 0.0057
cv-ha 393.86 1.087   # SOURCE3 2
cx-cv 256.87 1.508   # SOURCE1 2536
cx-cx 260.31 1.504   # SOURCE1_SOURCE5 2781 0.0136
cx-cy 250.83 1.515   # SOURCE3 2
cx-f 339.01 1.360   # SOURCE2_SOURCE5 10 0.0045
cx-h1 390.15 1.089   # SOURCE3_SOURCE5 1142 0.0013
cx-h2 395.91 1.086   # SOURCE3_SOURCE5 5 0.0014
cx-hc 393.86 1.087   # SOURCE3_SOURCE5 1702 0.0009
cx-hx 397.60 1.085   # SOURCE4_SOURCE5 19 0.0002
cx-n2 245.89 1.482   # SOURCE3 2
cx-n3 256.30 1.470   # SOURCE1_SOURCE5 227 0.0050
cx-n 283.33 1.442   # SOURCE4_SOURCE5 39 0.0103
cx-na 264.52 1.461   # SOURCE4_SOURCE5 49 0.0026
cx-nh 270.65 1.455   # SOURCE4_SOURCE5 192 0.0076
cx-oh 369.30 1.361   # SOURCE3 3 0.0018
cx-os 279.50 1.437   # SOURCE3_SOURCE5 703 0.0071
cx-p3 164.17 1.867   # SOURCE2 1
cx-s4 192.02 1.822   # SOURCE2 1
cx-s6 249.87 1.731   # SOURCE2 1
cx-ss 186.43 1.833   # SOURCE2_SOURCE5 5 0.0011
cy-cy 218.51 1.556   # SOURCE1_SOURCE5 1665 0.0053
cy-f 344.83 1.356   # SOURCE4_SOURCE5 36 0.0095
cy-h1 379.11 1.095   # SOURCE3_SOURCE5 477 0.0019
cy-h2 382.87 1.093   # SOURCE4_SOURCE5 210 0.0017
cy-hc 379.47 1.095   # SOURCE3_SOURCE5 840 0.0011
cy-n 256.66 1.470   # SOURCE4_SOURCE5 618 0.0101
cy-n3 248.73 1.479   # SOURCE1_SOURCE5 67 0.0083
cy-oh 305.23 1.412   # SOURCE3_SOURCE5 13 0.0082
cy-os 277.32 1.439   # SOURCE4_SOURCE5 81 0.0141
cy-s6 177.00 1.851   # SOURCE4_SOURCE5 39 0.0142
cy-ss 177.89 1.849   # SOURCE4_SOURCE5 201 0.0086
cz-nh 414.24 1.339   # SOURCE4_SOURCE5 85 0.0046
